"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0500000US19113","Linn County, Iowa","95051","739","3305","423","2460","401","2573","347","3296","568","3797","534","3311","459","4257","548","3199","426","4131","516","6503","645","9988","771","13520","857","9836","784","7118","574","8858","672","8899","692",
"0500000US19115","Louisa County, Iowa","4143","157","117","51","103","36","81","32","104","42","153","56","122","62","173","67","164","53","202","71","323","84","404","79","761","113","522","110","349","84","344","83","221","63",
"0500000US19117","Lucas County, Iowa","3672","125","167","78","270","124","220","85","157","67","147","68","119","49","183","58","99","43","107","44","159","65","452","106","621","138","424","103","179","75","247","71","121","68",
"0500000US19119","Lyon County, Iowa","4444","108","120","40","100","32","130","37","144","38","174","61","124","38","211","62","192","84","225","71","338","83","514","94","696","130","564","122","315","78","347","80","250","75",
"0500000US19121","Madison County, Iowa","6625","163","154","76","226","118","68","40","107","53","367","188","177","82","154","83","341","127","206","93","460","131","468","116","1091","227","911","175","538","113","756","155","601","102",
"0500000US19123","Mahaska County, Iowa","8891","241","321","108","318","122","457","138","425","125","232","95","408","113","375","106","325","116","336","82","684","136","892","160","1531","206","981","170","621","148","627","133","358","103",
"0500000US19125","Marion County, Iowa","13409","218","439","155","411","170","537","143","312","95","384","129","539","165","374","112","357","110","500","130","951","213","1550","228","2073","308","1485","219","1090","198","1285","239","1122","241",
"0500000US19127","Marshall County, Iowa","15546","289","517","158","531","160","442","133","623","190","639","171","714","167","623","156","564","152","503","127","1191","217","1745","286","2531","362","1971","284","1226","260","1072","184","654","173",
"0500000US19129","Mills County, Iowa","5349","143","150","79","215","76","116","58","184","75","65","39","137","56","109","50","107","38","145","52","399","148","594","149","902","153","708","129","398","109","539","106","581","126",
"0500000US19131","Mitchell County, Iowa","4477","127","177","60","160","65","199","78","147","65","160","64","119","63","148","58","160","59","224","70","425","113","566","112","581","126","377","99","405","101","398","105","231","84",
"0500000US19133","Monona County, Iowa","3891","109","177","63","109","49","137","46","194","69","220","65","144","44","223","81","154","61","134","53","367","96","437","102","558","88","383","88","332","72","155","50","167","49",
